time,sentiment,price
2025-05-12 19:20:29.358836,Neutral,103067
2025-05-12 19:21:02.804735,Negative,102957
2025-05-12 19:22:02.804745,Positive,102957
2025-05-12 19:23:02.804745,Positive,102957
2025-05-12 19:24:19.900031,Negative,103001
2025-05-12 19:25:19.900031,Positive,103001
2025-05-12 19:26:29.358836,Neutral,103067
2025-05-12 19:27:02.804745,Positive,102957
2025-05-12 19:28:34.589410,Negative,103058
2025-05-12 19:29:52.957859,Negative,103063
2025-05-12 19:30:00.155552,Positive,103040
2025-05-12 19:31:34.589410,Positive,103058
2025-05-12 19:32:52.957859,Positive,103063
2025-05-12 19:33:00.155552,Positive,103040
2025-05-12 19:34:08.489692,Positive,103040
2025-05-12 19:35:08.489692,Positive,103040
2025-05-12 19:36:00.155552,Neutral,103040
2025-05-12 19:37:08.489692,Positive,103040
2025-05-12 19:38:08.489692,Negative,103040
2025-05-12 19:39:51.262379,Positive,102892
2025-05-12 19:40:14.575134,Positive,102892
2025-05-12 19:41:21.124103,Positive,102888
2025-05-12 19:42:22.198689,Positive,102882
2025-05-12 19:43:03.758284,Positive,102880
2025-05-12 19:44:51.262379,Positive,102892
2025-05-12 19:45:14.575134,Positive,102892
2025-05-12 19:46:21.124103,Neutral,102888
2025-05-12 19:47:22.198689,Positive,102882
2025-05-12 19:48:03.758284,Positive,102880
2025-05-12 19:48:10.652008,Positive,102921
2025-05-12 19:48:51.222206,Positive,102921
2025-05-12 19:49:22.768923,Positive,102925
2025-05-12 19:50:20.586363,Positive,102926
2025-05-12 19:50:56.542602,Positive,102926
2025-05-12 19:51:29.506932,Positive,102938
2025-05-12 19:52:08.101161,Positive,102941
2025-05-12 19:53:34.278937,Positive,102942
2025-05-12 19:54:38.933745,Positive,102916
2025-05-12 20:04:49.072681,Positive,102745
2025-05-12 20:06:13.496776,Positive,102742
2025-05-12 20:21:52.289946,Neutral,102579
2025-05-12 20:21:52.964478,Neutral,102579
2025-05-12 20:21:53.691333,Neutral,102570
2025-05-12 20:21:54.363626,Neutral,102579
2025-05-12 20:21:55.094513,Neutral,102579
2025-05-12 20:25:58.108603,Positive,102552
2025-05-12 20:25:58.821750,Positive,102552
2025-05-12 20:25:59.517508,Positive,102552
2025-05-12 20:26:00.254981,Positive,102552
2025-05-12 20:26:00.893265,Positive,102552
2025-05-12 20:26:01.601191,Positive,102552
2025-05-12 21:07:07.204380,Positive,102462
2025-05-12 21:07:39.055388,Positive,102462
2025-05-12 21:10:30.176583,Positive,102464
2025-05-12 21:10:59.606114,Positive,102464
2025-05-12 21:12:09.917881,Positive,102412
2025-05-12 21:13:18.176890,Neutral,102392
2025-05-12 21:13:29.517290,Positive,102392
2025-05-12 21:16:19.668686,Positive,102470
2025-05-12 21:24:17.076946,Positive,102545
2025-05-12 21:24:38.432391,Positive,102545
2025-05-12 21:29:27.031659,Positive,102627
2025-05-12 21:31:50.537356,Positive,102583
2025-05-12 21:32:52.221646,Positive,102550
2025-05-12 21:34:05.306440,Positive,102508
2025-05-12 21:35:18.187068,Positive,102479
2025-05-12 21:36:29.359830,Positive,102496
