ds,yhat,yhat_lower,yhat_upper
2025-05-17 13:59:44,104979.7950010061,104773.06524973725,105192.91775496211
2025-05-17 14:59:44,108255.95314701812,107784.96647625366,108854.64680812335
2025-05-17 15:59:44,113977.09743366747,113027.4378816654,115058.90817147722
2025-05-17 16:59:44,121280.12690295432,119774.65515091665,122985.72166312307
2025-05-17 17:59:44,127866.99691594338,125696.56520235095,130331.3392305694
2025-05-17 18:59:44,131063.93221296923,128189.6433282722,134344.94875413462
2025-05-17 19:59:44,129386.50826545802,125777.85207592284,133512.6451757779
2025-05-17 20:59:44,123486.88852527023,118935.96094150092,128587.72924910278
2025-05-17 21:59:44,115761.72400084678,110380.87646278508,121821.70090153471
2025-05-17 22:59:44,108910.9882886265,102668.80477233464,116000.50388816839
2025-05-17 23:59:44,104507.31469468982,97144.11043914371,112692.14130526618
2025-05-18 00:59:44,102527.73398867549,93990.95174584951,111688.76745051537
2025-05-18 01:59:44,101961.09137015272,92204.9418332115,112041.18763723556
2025-05-18 02:59:44,101797.54868761273,90704.73009820351,113144.90840831121
2025-05-18 03:59:44,101593.26617829411,88954.1903081849,114346.78479425672
2025-05-18 04:59:44,101364.17890472476,87455.66397461694,115700.9453384911
2025-05-18 05:59:44,101187.52466398066,85843.70952131666,116649.23983086644
2025-05-18 06:59:44,101008.46218810536,84535.7268972191,117932.18262115249
2025-05-18 07:59:44,100762.54289762025,82560.48981091841,119619.91172458722
2025-05-18 08:59:44,100529.14759232801,80679.97129344169,120845.93823440098
2025-05-18 09:59:44,100456.80232020548,79064.40583974692,122051.03574438172
2025-05-18 10:59:44,100565.94270196556,77653.64780139907,123770.23607783284
2025-05-18 11:59:44,100764.99071037665,76607.12699329964,126340.49775441605
2025-05-18 12:59:44,101192.5372190492,74949.68103870066,128171.65860834386
