timestamp,price_usd,ma_6,volatility_12
2025-05-16 05:16:57,103694,103690.66666666667,12.45233335871093
2025-05-16 05:17:07,103694,103691.66666666667,2.70100991496848
2025-05-16 05:17:17,103694,103692.66666666667,2.806917863782647
2025-05-16 05:17:27,103692,103693.0,2.7413776701409036
2025-05-16 05:17:37,103692,103693.33333333333,2.6285149655745625
2025-05-16 05:17:47,103692,103693.0,2.4618298226564606
2025-05-16 05:18:58,103691,103692.5,2.2343733478318297
2025-05-16 05:19:08,103691,103692.0,1.9462473642678915
2025-05-16 05:19:19,103691,103691.5,1.5642792947464945
2025-05-16 05:19:29,103691,103691.33333333333,1.4668044063563037
2025-05-16 05:27:16,103698,103692.33333333333,2.0816660030393828
2025-05-16 05:30:18,103684,103691.0,3.2473765658587017
2025-05-16 05:30:29,103684,103689.83333333333,3.9041547430425
2025-05-16 05:30:49,103684,103688.66666666667,4.292346961699269
2025-05-16 05:31:20,103679,103686.66666666667,5.212891945922969
2025-05-16 05:37:26,103679,103684.66666666667,5.862050526863604
2025-05-16 05:37:36,103679,103681.5,6.244391424191565
2025-05-16 05:37:46,103680,103680.83333333333,6.316764612347776
2025-05-16 05:37:57,103679,103680.0,6.388317938010063
2025-05-16 05:38:32,103682,103679.66666666667,6.13237805608106
2025-05-16 05:38:42,103682,103680.16666666667,5.7597085378549435
2025-05-16 05:38:52,103680,103680.33333333333,5.300085764200694
2025-05-16 05:39:02,103682,103680.83333333333,2.081666003602605
2025-05-16 05:39:12,103682,103681.16666666667,1.9069251830142284
2025-05-16 06:14:41,103608,103669.33333333333,21.059799418167287
2025-05-16 06:47:16,103500,103639.0,54.33788789258146
2025-05-16 07:20:32,103662,103635.66666666667,53.99908809574859
2025-05-16 07:20:42,103675,103634.83333333333,53.869300303349554
2025-05-16 07:20:52,103662,103631.5,53.47698457101922
2025-05-16 07:54:22,103584,103615.16666666667,56.672637831765016
2025-05-16 08:11:52,103535,103603.0,64.28464164588377
2025-05-16 08:12:02,103535,103608.83333333333,68.61679933909625
2025-05-16 08:12:13,103535,103587.66666666667,70.40316797300291
2025-05-16 08:12:23,103531,103563.66666666667,70.39515091793014
2025-05-16 08:12:33,103531,103541.83333333333,67.7030056181399
2025-05-16 08:12:43,103531,103533.0,62.1807604467175
2025-05-16 08:13:54,103524,103531.16666666667,62.74111068297491
2025-05-16 08:14:04,103524,103529.33333333333,60.75952350871154
2025-05-16 08:14:14,103524,103527.5,54.289557565374565
2025-05-16 08:14:24,103518,103525.33333333333,40.61683484428088
2025-05-16 08:14:38,103518,103523.16666666667,17.359828236647097
2025-05-16 08:14:48,103518,103521.0,6.809084843558457
2025-05-16 08:15:59,103524,103521.0,6.359793215211998
2025-05-16 08:16:09,103524,103521.0,5.7181264187144
2025-05-16 08:16:19,103524,103521.0,4.807664340115447
2025-05-16 08:16:29,103524,103522.0,4.313474313095285
2025-05-16 08:16:40,103542,103526.0,6.584531923346322
2025-05-16 08:16:50,103542,103530.0,8.140806306261258
2025-05-16 08:17:00,103542,103533.0,9.400193423897848
2025-05-16 08:18:11,103539,103535.5,9.946447517814391
2025-05-16 08:18:21,103539,103538.0,10.300044132599327
