ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-05-11 00:23:00,1468.793184,-759.2976007898228,3625.6294904632064,1468.793184,1468.793184,0.0,0.0,0.0,0.0,0.0,0.0,1468.793184
2025-05-11 02:26:00,1497.2298821802199,-697.1410416758788,3668.062110356746,1497.2298821802199,1497.2298821802199,0.0,0.0,0.0,0.0,0.0,0.0,1497.2298821802199
2025-05-11 02:39:00,1500.235386858981,-565.7905446598396,3953.7510053343385,1500.235386858981,1500.235386858981,0.0,0.0,0.0,0.0,0.0,0.0,1500.235386858981
2025-05-11 15:49:00,1682.8775937493347,-576.6083395457088,3894.837360769256,1682.8775937493347,1682.8775937493347,0.0,0.0,0.0,0.0,0.0,0.0,1682.8775937493347
2025-05-11 15:51:00,1683.339979084506,-459.77362033731265,3826.041375003452,1683.339979084506,1683.339979084506,0.0,0.0,0.0,0.0,0.0,0.0,1683.339979084506
2025-05-11 15:59:00,1685.1895204250159,-360.79484346296374,3941.887341060896,1685.1895204250159,1685.1895204250159,0.0,0.0,0.0,0.0,0.0,0.0,1685.1895204250159
2025-05-11 17:23:00,1704.609704558813,-564.068722809151,3731.8567048079985,1704.609704558813,1704.609704558813,0.0,0.0,0.0,0.0,0.0,0.0,1704.609704558813
2025-05-11 17:27:00,1705.5344752319597,-459.2328131897981,4090.306232519745,1705.5344752319597,1705.5344752319597,0.0,0.0,0.0,0.0,0.0,0.0,1705.5344752319597
2025-05-11 22:30:00,1775.5858537691158,-458.1295550097022,4057.3874686873237,1775.5858537691158,1775.5858537691158,0.0,0.0,0.0,0.0,0.0,0.0,1775.5858537691158
2025-05-11 22:58:00,1782.0592484762826,-528.5229511265039,4199.897956821726,1782.0592484762826,1782.0592484762826,0.0,0.0,0.0,0.0,0.0,0.0,1782.0592484762826
2025-05-12 03:27:00,1844.2500761722024,-534.569166393933,4176.1705396680945,1844.2500761722024,1844.2500761722024,0.0,0.0,0.0,0.0,0.0,0.0,1844.2500761722024
