datetime,city,temperature_C,dew_point_C,humidity_percent,wind_speed_mps,pressure_hPa,wind_chill_C
2025-05-16 23:27:24,London,10.1,6.4,78,2.24,1023,9.1
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-16 23:54:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-17 00:04:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-17 00:14:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-17 00:24:01,London,10.1,6.4,78,2.24,1023,9.1
2025-05-17 01:08:11,London,10.1,6.4,78,2.24,1023,9.1
