timestamp,price_usd,market_cap_usd,price_change_pct,moving_avg_price,volatility_15m
2025-04-23 18:30:37,93461,1855711950177.5903,0.0,93450.42857142857,35.30614407712931
2025-04-23 18:31:37,93451,1855711950177.5903,-0.010699650121437365,93450.85714285714,31.726059591666548
2025-04-23 18:32:38,93454,1855711950177.5903,0.0032102385207233297,93451.71428571429,26.515943094038054
2025-04-23 18:32:56,93454,1855711950177.5903,0.0,93454.0,22.68248747748235
2025-04-23 18:33:38,93454,1855711950177.5903,0.0,93456.28571428571,17.94117371735899
2025-04-23 18:33:57,93466,1855553696722.917,0.012840541870873246,93457.28571428571,10.37487808644304
2025-04-23 18:34:38,93466,1855553696722.917,0.0,93458.0,8.69701646016618
2025-04-23 18:34:57,93466,1855553696722.917,0.0,93458.71428571429,9.195236866042181
2025-04-23 18:35:38,93485,1855553696722.917,0.02032824770503705,93463.57142857143,11.974973906863616
2025-04-23 18:35:57,93485,1855553696722.917,0.0,93468.0,13.755345283904267
2025-04-23 18:36:39,93534,1855553696722.917,0.052414825907898255,93479.42857142857,23.373367018549494
2025-04-23 18:36:57,93534,1855553696722.917,0.0,93490.85714285714,28.163299320934605
2025-04-23 18:37:39,93534,1855553696722.917,0.0,93500.57142857143,30.858663984786872
2025-04-23 18:37:58,93571,1857375334763.2292,0.03955780785596108,93515.57142857143,38.61248256189007
2025-04-23 18:38:39,93571,1857375334763.2292,0.0,93530.57142857143,43.810957534252545
2025-04-23 18:38:58,93571,1857375334763.2292,0.0,93542.85714285714,47.25079994355461
2025-04-23 18:39:40,93594,1857375334763.2292,0.02458026525311574,93558.42857142857,50.99365039904272
2025-04-23 18:39:58,93594,1857375334763.2292,0.0,93567.0,52.930952328037755
2025-04-23 18:40:40,93594,1857375334763.2292,0.0,93575.57142857143,53.06931675666834
2025-04-23 18:40:58,93603,1858515407735.7805,0.009616001025714027,93585.42857142857,52.17945226008414
2025-04-23 18:41:40,93603,1858515407735.7805,0.0,93590.0,50.66979940256052
2025-04-23 18:41:59,93625,1858515407735.7805,0.023503520186318738,93597.71428571429,49.12200554373436
2025-04-23 18:42:40,93625,1858515407735.7805,0.0,93605.42857142857,44.919292706034575
2025-04-23 18:42:59,93625,1858515407735.7805,0.0,93609.85714285714,40.74812294913012
2025-04-23 18:43:41,93645,1858515407735.7805,0.021361815754339375,93617.14285714286,35.38401576272659
2025-04-23 18:43:59,93645,1858515407735.7805,0.0,93624.42857142857,34.84209277067138
2025-04-23 18:44:41,93645,1858515407735.7805,0.0,93630.42857142857,32.53569468507611
2025-04-23 18:45:00,93675,1859921539712.2117,0.03203588018581005,93640.71428571429,31.52957795125079
2025-04-23 18:45:41,93675,1859921539712.2117,0.0,93647.85714285714,33.167683641844754
2025-04-23 18:46:00,93675,1859921539712.2117,0.0,93655.0,33.21244746683695
2025-04-23 18:46:42,93704,1859921539712.2117,0.030958099813194195,93666.28571428571,35.103656030932974
2025-04-23 18:47:00,93704,1859921539712.2117,0.0,93674.71428571429,37.31691816085986
2025-04-23 18:47:42,93704,1859921539712.2117,0.0,93683.14285714286,37.91569595922555
2025-04-23 18:48:00,93716,1859921539712.2117,0.012806283616484393,93693.28571428571,38.17528495015225
2025-04-23 18:48:42,93716,1859921539712.2117,0.0,93699.14285714286,37.7072684679153
2025-04-23 18:49:01,93739,1861106076507.3252,0.024542233983515516,93708.28571428571,37.96401805315675
2025-04-23 18:49:42,93739,1861106076507.3252,0.0,93717.42857142857,38.742495434019574
2025-04-23 18:50:01,93739,1861106076507.3252,0.0,93722.42857142857,37.906777884677055
2025-04-23 18:50:43,93744,1861106076507.3252,0.005333959184539161,93728.14285714286,35.78440735290536
2025-04-23 18:51:01,93744,1861106076507.3252,0.0,93733.85714285714,34.48284597799049
2025-04-23 18:51:45,93760,1861106076507.3252,0.01706775900325308,93740.14285714286,33.121996720337684
2025-04-23 18:52:02,93760,1861106076507.3252,0.0,93746.42857142857,29.649861480112445
2025-04-23 18:52:45,93760,1861106076507.3252,0.0,93749.42857142857,28.621836486940477
2025-04-23 18:53:02,93762,1861664554872.5588,0.00213310580203796,93752.71428571429,26.439868886632276
2025-04-23 18:53:45,93762,1861664554872.5588,0.0,93756.0,22.513064991551254
2025-04-23 18:54:02,93762,1861664554872.5588,0.0,93758.57142857143,21.419172543699183
2025-04-23 18:54:45,93767,1861664554872.5588,0.005332650754041879,93761.85714285714,19.81870208810008
2025-04-23 18:55:03,93767,1861664554872.5588,0.0,93762.85714285714,16.999439768915323
2025-04-23 18:55:46,93765,1861664554872.5588,-0.0021329465590191887,93763.57142857143,14.734798464533615
2025-04-23 18:56:03,93765,1861664554872.5588,0.0,93764.28571428571,11.062592483557278
2025-04-23 18:56:46,93765,1861664554872.5588,0.0,93764.71428571429,10.273405337046349
2025-04-23 18:57:03,93762,1861664554872.5588,-0.0031994880819063987,93764.71428571429,8.963948963980648
2025-04-23 18:57:46,93762,1861664554872.5588,0.0,93764.71428571429,7.079817059809185
2025-04-23 18:58:03,93762,1861664554872.5588,0.0,93764.0,5.420419952139791
