nohup: ignoring input
Appended row: {'timestamp': '2025-04-23 19:17:08', 'price_usd': 93825, 'market_cap_usd': 1862761845664.5857, 'price_change_pct': -0.00012}
Appended row: {'timestamp': '2025-04-23 19:18:09', 'price_usd': 93797, 'market_cap_usd': 1862918944764.673, 'price_change_pct': -0.0003}
Appended row: {'timestamp': '2025-04-23 19:19:09', 'price_usd': 93797, 'market_cap_usd': 1862918944764.673, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:20:09', 'price_usd': 93781, 'market_cap_usd': 1862918944764.673, 'price_change_pct': -0.00017}
Appended row: {'timestamp': '2025-04-23 19:21:09', 'price_usd': 93775, 'market_cap_usd': 1861922625789.8525, 'price_change_pct': -6e-05}
Appended row: {'timestamp': '2025-04-23 19:22:10', 'price_usd': 93763, 'market_cap_usd': 1861922625789.8525, 'price_change_pct': -0.00013}
Appended row: {'timestamp': '2025-04-23 19:23:10', 'price_usd': 93763, 'market_cap_usd': 1861922625789.8525, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:24:10', 'price_usd': 93762, 'market_cap_usd': 1861922625789.8525, 'price_change_pct': -1e-05}
Appended row: {'timestamp': '2025-04-23 19:25:11', 'price_usd': 93770, 'market_cap_usd': 1861922625789.8525, 'price_change_pct': 9e-05}
Appended row: {'timestamp': '2025-04-23 19:26:11', 'price_usd': 93770, 'market_cap_usd': 1861922625789.8525, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:27:11', 'price_usd': 93787, 'market_cap_usd': 1861999004331.314, 'price_change_pct': 0.00018}
Appended row: {'timestamp': '2025-04-23 19:28:12', 'price_usd': 93777, 'market_cap_usd': 1861999004331.314, 'price_change_pct': -0.00011}
Appended row: {'timestamp': '2025-04-23 19:29:12', 'price_usd': 93777, 'market_cap_usd': 1861999004331.314, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 19:30:12', 'price_usd': 93759, 'market_cap_usd': 1861900973065.7754, 'price_change_pct': -0.00019}
