timestamp,price_usd,market_cap_usd,price_change_pct
2025-04-23 19:06:05,93759,1861669161951.973,-0.00011
2025-04-23 19:06:50,93759,1861669161951.973,0.0
2025-04-23 19:07:06,93761,1861669161951.973,2e-05
2025-04-23 19:07:50,93761,1861669161951.973,2e-05
2025-04-23 19:08:06,93761,1861669161951.973,0.0
2025-04-23 19:08:50,93785,1861966314541.8518,0.00026
2025-04-23 19:09:06,93785,1861966314541.8518,0.00026
2025-04-23 19:09:51,93813,1861966314541.8518,0.0003
2025-04-23 19:10:06,93813,1861966314541.8518,0.0003
2025-04-23 19:10:51,93813,1861966314541.8518,0.0
2025-04-23 19:11:07,93819,1861966314541.8518,6e-05
2025-04-23 19:11:51,93819,1861966314541.8518,6e-05
2025-04-23 19:12:07,93819,1861966314541.8518,0.0
2025-04-23 19:12:52,93821,1861966314541.8518,2e-05
2025-04-23 19:13:07,93821,1861966314541.8518,2e-05
2025-04-23 19:13:52,93821,1861966314541.8518,0.0
2025-04-23 19:14:07,93824,1862761845664.5857,3e-05
2025-04-23 19:14:52,93824,1862761845664.5857,3e-05
2025-04-23 19:15:08,93836,1862761845664.5857,0.00013
2025-04-23 19:15:52,93836,1862761845664.5857,0.00013
2025-04-23 19:16:08,93836,1862761845664.5857,0.0
2025-04-23 19:16:53,93825,1862761845664.5857,-0.00012
2025-04-23 19:17:08,93825,1862761845664.5857,-0.00012
2025-04-23 19:17:53,93825,1862761845664.5857,0.0
2025-04-23 19:18:09,93797,1862918944764.673,-0.0003
2025-04-23 19:18:53,93797,1862918944764.673,-0.0003
2025-04-23 19:19:09,93797,1862918944764.673,0.0
2025-04-23 19:19:54,93781,1862918944764.673,-0.00017
2025-04-23 19:20:09,93781,1862918944764.673,-0.00017
2025-04-23 19:20:54,93781,1862918944764.673,0.0
2025-04-23 19:21:09,93775,1861922625789.8525,-6e-05
2025-04-23 19:21:55,93775,1861922625789.8525,-6e-05
2025-04-23 19:22:10,93763,1861922625789.8525,-0.00013
2025-04-23 19:22:55,93763,1861922625789.8525,-0.00013
2025-04-23 19:23:10,93763,1861922625789.8525,0.0
2025-04-23 19:23:55,93762,1861922625789.8525,-1e-05
2025-04-23 19:24:10,93762,1861922625789.8525,-1e-05
