timestamp,price,market_cap,volume
2025-01-19 22:03:47.721,103522.29406215232,2053492939758.6113,60718738044.74748
2025-01-19 23:03:49.268,103221.86907925215,2040375565467.1672,61507831451.87798
2025-01-20 00:00:35.807,101275.33714814208,2014842808849.5005,72970313683.92325
2025-01-20 01:03:41.017,99717.60975037608,1975730474078.837,77366499863.15007
2025-01-20 02:03:33.559,100542.11260095066,1982950711042.8284,90750654260.42874
2025-01-20 03:03:21.316,101655.82318713676,2014609616887.5244,92757500180.13882
2025-01-20 04:03:40.445,101817.43508803177,2015281631006.2478,92747322898.54636
2025-01-20 05:03:52.180,102058.75404251853,2022015931782.1143,94283270370.3527
2025-01-20 06:08:17.577,102455.24137078089,2025206921800.0852,95055992422.63972
2025-01-20 07:04:13.192,107294.60981195435,2147821598052.8906,103953487064.96997
2025-01-20 08:04:21.028,107127.07048412197,2128270490774.7427,116675360998.78345
2025-01-20 09:03:43.103,108228.26762528597,2142327181303.8625,118476861530.58003
2025-01-20 10:06:15.411,108013.55026978825,2141163659892.4927,118082391793.32466
2025-01-20 11:00:15.374,108041.04174416988,2140687011396.5784,118203796040.64821
2025-01-20 12:03:41.215,108161.99567857297,2142718780774.7983,88432147911.89171
2025-01-20 13:03:47.784,106822.73509873448,2117034566480.3809,121629749415.97955
2025-01-20 14:03:50.561,107813.34871276142,2135139617103.2354,112877733532.54012
2025-01-20 15:03:51.077,107706.0110635397,2135906323100.8423,121680907028.02881
2025-01-20 16:03:45.691,104908.16562559467,2074846859684.1245,121121526431.759
2025-01-20 17:03:49.066,106427.96405865643,2109181993165.4636,112072418729.16286
2025-01-20 18:03:53.254,102864.58353348567,2040285881207.2769,139544235814.68033
2025-01-20 19:03:12.889,104072.56426573706,2061969213501.8867,142911561152.7625
2025-01-20 20:03:36.568,103686.82991966167,2054881026217.866,141771148813.59714
2025-01-20 21:03:54.187,103497.42529916775,2054052647318.7905,153503964651.05222
2025-01-20 22:03:57.834,102377.84102066602,2035716697620.8906,148762031639.76978
2025-01-20 23:03:50.997,103446.73844314495,2052785117030.3086,144430586526.66348
2025-01-21 00:03:59.455,102094.72883937496,2019675226133.4543,130908993847.84991
2025-01-21 01:03:51.394,101063.53964636955,2024135970024.9392,132349028986.87318
2025-01-21 02:08:32.915,101243.9137563174,2003331919924.4583,133475580564.65007
2025-01-21 03:03:26.032,102447.6852125143,2028481355736.6882,114547220952.31783
2025-01-21 04:03:38.795,102966.85852955778,2039233146450.0984,132377371987.42104
2025-01-21 05:08:22.644,101978.34294917599,2025965240960.383,132952746427.11633
2025-01-21 06:03:36.434,101243.17261680542,2006302572212.2422,131981586186.39648
2025-01-21 07:02:01.431,101924.34094024563,2010649044665.9395,130311079032.64166
2025-01-21 08:02:29.875,101885.47607960703,2017636740889.9924,111100187590.16711
2025-01-21 09:03:44.058,102336.84862624663,2025790932540.4312,116920420135.58043
2025-01-21 10:02:04.125,102574.84629104717,2033093552725.5215,92294585798.96106
2025-01-21 11:03:25.375,103051.92019929607,2042532159983.0518,114864821818.59978
2025-01-21 12:01:10.436,103680.99694575471,2054089936075.4885,115491365978.66591
2025-01-21 13:03:51.018,104383.96704387927,2068231858479.0723,105544005308.69992
2025-01-21 14:08:24.633,104476.60703758195,2067890194301.004,110757748970.32304
2025-01-21 15:03:44.899,103459.5911102788,2057243140907.9565,112358117287.39313
2025-01-21 16:06:29.188,104071.02014123625,2058628184540.6746,111980873320.65442
2025-01-21 17:03:36.864,104858.63180812451,2081479999129.2983,106901570044.45741
2025-01-21 18:03:46.637,106132.12214687715,2098087076052.5317,91805508143.2693
2025-01-21 19:03:39.258,106789.70708043047,2119632710352.153,90811058101.32574
2025-01-21 20:03:50.545,106969.68100810557,2122011370344.3774,81953818595.76321
2025-01-21 21:03:38.206,106189.88295143405,2102936685719.1367,94694073663.82579
2025-01-21 22:03:53.206,106817.77660526973,2116757945168.439,97217268039.43297
2025-01-21 23:03:48.136,106011.73551990329,2101985967480.1875,95521734421.4995
2025-01-22 00:03:56.285,106193.34179411683,2105167677828.1416,94588850854.51552
2025-01-22 01:07:51.434,106194.21780148889,2103209403422.602,92217846745.42621
2025-01-22 02:03:46.442,105769.31457674179,2095627909000.8752,82354405381.32039
2025-01-22 03:03:42.084,105588.50079040088,2093465482560.447,85552027474.33493
2025-01-22 04:01:52.618,105676.93931147885,2094062544665.4534,83124446402.94469
2025-01-22 05:05:58.507,105715.69067946191,2091356718438.1116,82086987767.75522
2025-01-22 06:03:53.641,105684.2986472254,2093966213958.9607,71225276014.23238
2025-01-22 07:04:13.059,105375.25471417564,2087608980620.0696,78412934479.54207
2025-01-22 08:03:33.876,105121.58311323935,2082386524265.4802,78018368903.51836
2025-01-22 09:03:38.751,105265.54039003127,2085702045239.1023,74286566163.6113
2025-01-22 10:02:51.930,104964.5927061866,2079278811176.0393,73544526285.17328
2025-01-22 11:03:49.650,105125.72871098916,2082816409643.9482,66134605090.95423
2025-01-22 12:03:53.648,105064.6017722564,2087149243247.3064,73266311052.40459
2025-01-22 13:03:51.756,105274.67946424602,2087586129030.464,70707383234.0653
2025-01-22 14:03:49.674,104058.3806290983,2062079119970.4866,64668528545.566444
2025-01-22 15:07:40.597,104461.75496730869,2065515676980.735,69438025022.59985
2025-01-22 16:00:11.802,104585.95000093221,2063840368538.9778,68259285263.69587
2025-01-22 17:04:05.496,103809.42598027962,2055084698608.9238,57980964888.95685
2025-01-22 18:02:38.733,104404.40751192812,2068900668288.1309,62770027097.922585
2025-01-22 19:04:00.639,103862.59857173236,2057840550639.4553,59672415288.21975
2025-01-22 20:01:31.015,104604.75924580242,2073570503666.0437,55810889064.50527
2025-01-22 21:03:41.164,104270.85038371527,2067207913704.7715,57728690385.554535
2025-01-22 22:03:39.610,104063.7203689605,2062087410499.7388,55154762847.06376
2025-01-22 23:03:48.831,103889.57174880913,2061317579504.2202,56134924026.78908
2025-01-23 00:03:51.303,103610.2884720945,2053369753962.5918,52302024099.73323
2025-01-23 01:01:12.223,103213.21801098887,2044756970016.7886,54686321094.10982
2025-01-23 02:02:32.971,102932.26960635831,2039839933186.8208,55208600015.840996
2025-01-23 03:03:34.822,102652.0766969804,2033628551280.9263,56137707554.651146
2025-01-23 04:03:40.249,102393.49466027308,2027119724597.5515,47541105090.54679
2025-01-23 05:03:56.984,101968.18865279967,2021864777901.2068,55637865915.79038
2025-01-23 06:03:53.176,102477.01865221249,2029703892618.9194,60129710980.9678
2025-01-23 07:03:32.310,102348.1246088757,2028117572144.4377,46018383534.049484
2025-01-23 08:03:31.927,102601.69451384385,2032944666933.1814,53581405203.82535
2025-01-23 09:03:51.202,102187.99212580184,2024865866696.8784,57507324449.78339
2025-01-23 10:03:37.948,101564.38402240237,2012375264912.3037,62778897981.70006
2025-01-23 11:03:47.028,101524.9578065445,2010153001614.973,58212697255.60591
2025-01-23 12:03:48.164,101920.04764680567,2020104478011.2732,62006926943.73563
2025-01-23 13:03:51.981,101594.67223835022,2013068246637.8286,62392373383.00829
2025-01-23 14:03:50.951,102542.27463064871,2030501561657.9355,64735127127.000755
2025-01-23 15:03:46.393,105043.4453232807,2077552186155.0288,69745981914.28154
2025-01-23 16:03:35.575,105232.58350232254,2081794734434.319,79133509006.42305
2025-01-23 17:02:44.470,105174.05793380646,2087461813784.183,79173978004.61972
2025-01-23 18:03:43.949,105928.72626806023,2099654473435.1235,86236562446.15205
2025-01-23 19:08:23.726,105191.8127327177,2088098136408.2039,89127462476.23912
2025-01-23 20:01:33.542,103770.54132314972,2047596753176.5142,85419955533.17697
2025-01-23 21:08:46.584,103209.18071494896,2041422259814.3916,85063385236.14105
2025-01-23 22:03:51.478,102970.65650816544,2034259977477.6748,109638885842.44633
2025-01-23 23:03:51.212,103996.38358573921,2058765535087.8228,107915731945.21402
2025-01-24 00:03:34.402,104067.60991206947,2062360759045.0,102455227371.20761
2025-01-24 01:03:40.648,103434.51990433177,2049661979935.93,96529017651.93845
2025-01-24 02:01:47.728,103076.00196581223,2043588365132.5962,109128797916.93205
2025-01-24 03:03:37.238,103007.08090172919,2041249931897.0552,102252610596.68776
2025-01-24 04:03:45.015,103996.44661167011,2058535373518.5586,106686294694.14355
2025-01-24 05:03:35.112,104619.85404136483,2070089024796.6743,107335857671.58276
2025-01-24 06:03:34.323,105272.24517544167,2080803732365.3274,107368518180.79544
2025-01-24 07:08:24.397,105139.69976015505,2079965905549.398,106541346479.01193
2025-01-24 08:03:43.044,105052.05466479034,2081706986713.5366,103539667190.15005
2025-01-24 09:00:51.185,105525.55511099196,2087822226203.5288,101419707986.19122
2025-01-24 11:03:38.650,105260.18282658844,2085719313380.9778,97150334340.0336
2025-01-24 12:03:43.938,105462.11123381382,2090101707482.9849,90928294279.42918
2025-01-24 13:03:50.044,105540.321482502,2089782411911.3213,99716133133.37604
2025-01-24 14:03:38.683,105130.34603584596,2084858855901.5273,92790285803.5726
2025-01-24 15:03:39.191,105859.7275241652,2096890201954.4917,85220402114.15976
2025-01-24 16:03:41.667,105950.67934141024,2098767095967.58,74907016780.54788
2025-01-24 17:03:35.526,105673.01827900164,2100657482585.0293,76451881524.59409
2025-01-24 18:03:53.500,106462.47510536018,2108754664613.2773,74999221406.48251
2025-01-24 19:00:51.731,106270.02361618343,2101994901022.3337,75646625923.03722
2025-01-24 20:03:45.028,105773.10157051326,2097850137479.166,72861947201.7898
2025-01-24 21:03:43.718,105218.22708661461,2084743387394.958,61671330060.4463
2025-01-24 22:03:34.447,105090.6031924864,2081928209940.5127,52190467470.88886
2025-01-24 23:00:28.947,104828.41023433676,2079324020423.8052,54027540551.981
2025-01-25 00:03:25.210,104865.34040196025,2077922184453.5635,53506260321.534096
2025-01-25 01:03:58.408,104425.97081052078,2068407945510.5496,51127107248.18642
2025-01-25 02:02:54.081,104682.38613952263,2074240914548.3567,52238958847.02772
2025-01-25 03:03:53.709,104525.98725962896,2071261993829.2314,47791695760.974144
2025-01-25 04:03:53.463,105196.8110903439,2084693098831.9463,50129079325.37122
2025-01-25 05:03:42.032,104739.18830450674,2076288924648.1677,48722919094.145294
2025-01-25 06:03:42.069,104297.64110327902,2067551283411.8496,43047067730.79531
2025-01-25 07:03:32.346,104322.52268544042,2066233637351.1982,46068629775.90698
2025-01-25 08:02:50.178,104351.20375978928,2067823125489.098,43786393328.62617
2025-01-25 09:00:47.056,104318.97199786601,2066607701694.5703,43044125554.43833
2025-01-25 10:03:38.548,104357.26605159743,2067700434163.6152,40436844106.30154
2025-01-25 11:01:36.915,104529.24290738242,2071409486184.1438,35175107381.26211
2025-01-25 12:03:48.655,104629.57499842832,2073087143079.0264,41222949994.45963
2025-01-25 13:03:40.199,104747.03513533014,2076317793289.0308,38395699071.64579
2025-01-25 14:01:52.221,104717.30641848323,2074461843003.087,41051665547.87289
2025-01-25 15:03:26.697,104586.81029852289,2072082757275.7876,37779962915.16148
2025-01-25 16:08:24.330,104882.16753037032,2078420491031.879,32697910928.394024
2025-01-25 17:03:54.021,104651.52346384723,2073431039576.028,30657082583.40356
2025-01-25 18:00:09.198,104817.00540588601,2077048230144.7278,22833318180.966267
2025-01-25 19:03:43.888,105060.31985224345,2081838505104.5588,29979293017.07675
2025-01-25 20:02:27.055,105057.75920696749,2080748591808.294,27932659840.324013
2025-01-25 21:03:33.902,104932.80976131176,2079293097748.2004,25702372487.5294
2025-01-25 22:03:48.138,105115.58851030763,2082808967600.2925,21560456932.371834
2025-01-25 23:02:28.784,105043.52337871982,2082833038898.615,23400456426.569286
2025-01-26 00:05:30.976,104757.72169371562,2074506054539.7112,22611723831.30401
2025-01-26 01:04:09.235,104581.61343927286,2071711015862.8943,21775295914.618725
2025-01-26 02:03:37.099,104600.84394681461,2072850398475.4897,21152175711.019894
2025-01-26 03:03:22.321,104666.63517826005,2073401160448.454,20955577208.548206
2025-01-26 04:03:41.877,105022.7586042194,2080494600642.6042,16863103580.527859
2025-01-26 05:08:33.097,105124.49967086142,2083035130563.9626,19257631487.350594
2025-01-26 06:03:27.490,105074.1904986591,2082285655954.7915,20787990349.93211
2025-01-26 07:03:47.383,104977.34707393417,2079665848986.559,19827939844.100876
2025-01-26 08:04:50.117,104977.55779459586,2080136331208.4966,16915394282.771215
2025-01-26 09:03:11.555,105012.99705012147,2080891514623.0083,19737405714.487045
2025-01-26 10:01:31.101,104626.84268435907,2072338941964.063,18777297407.82678
2025-01-26 11:03:39.696,104699.98623132128,2073514527212.4453,20089834147.681213
2025-01-26 12:03:45.725,104824.49421411689,2076295759360.243,19741554725.54765
2025-01-26 13:01:46.714,104806.4631323314,2076404837068.6223,19677173035.600227
2025-01-26 14:02:31.601,104946.3964345607,2079314478691.7773,19430778546.726925
2025-01-26 15:03:42.149,104922.61570855931,2079888684036.3896,19309375839.233715
2025-01-26 16:03:43.471,104946.39234830825,2079827718541.048,18677959188.729893
2025-01-26 17:03:45.092,104918.25372650998,2079133392058.3813,16053789374.055458
2025-01-26 18:03:48.362,104955.009255737,2080307688887.0076,17481712894.63128
2025-01-26 19:03:47.189,105205.034734833,2083474786128.6177,17115339471.78222
2025-01-26 20:03:29.325,105063.78317116658,2081884461218.5605,16483078538.857496
2025-01-26 21:03:37.236,104888.56792573529,2078972683475.2292,16247530996.451385
2025-01-26 22:03:39.212,104656.02333256452,2075663113085.0972,14791550512.447086
2025-01-26 23:03:39.912,104252.44945477527,2067678293544.4365,17304344876.5781
2025-01-27 00:01:08.984,102624.65334083581,2030978163919.553,20744082547.069904
2025-01-27 01:03:43.607,101908.79856833804,2021124113425.4326,23597715479.255947
2025-01-27 02:03:46.662,101234.88956868813,2008728964979.0835,28592804794.495796
2025-01-27 03:03:32.256,100923.40894694143,1999111344801.3416,30729035944.185787
2025-01-27 04:00:40.941,101284.67459905501,2007373785978.895,33399878421.878517
2025-01-27 05:03:57.692,100383.21348858169,1989637757529.337,35867084582.28275
2025-01-27 06:02:16.576,100385.40284056596,1989606128548.9338,39399285048.76101
2025-01-27 07:03:44.853,98910.61330253117,1960006747496.8037,41017922942.65467
2025-01-27 08:00:25.454,99264.17133349284,1966561844819.0642,46661047265.0807
2025-01-27 09:08:25.540,99136.857895724,1963580436736.797,50418563787.37618
2025-01-27 10:03:42.675,99371.29777466608,1968675935175.8167,51333094053.10523
2025-01-27 11:03:51.897,98380.59207932772,1953433189637.4365,57061325014.16501
2025-01-27 12:03:07.693,98942.7402158788,1960615614639.017,50411293155.58739
2025-01-27 13:02:56.677,100751.62780133018,1996449825043.2969,61331265002.57265
2025-01-27 14:03:48.153,100519.74186061068,1992386301039.0266,65853220209.72479
2025-01-27 15:03:49.422,101907.9836785745,2024324526686.689,65741200758.58891
2025-01-27 16:04:02.880,101043.12534952544,2009910076275.775,78321331647.49019
2025-01-27 17:01:35.243,99598.86853780368,1975404949389.884,81377941203.27098
2025-01-27 18:02:04.557,99162.03326598273,1965862285317.4111,81398783736.6273
2025-01-27 19:03:50.500,99143.84212430805,1959930470914.0906,83731269386.36734
2025-01-27 20:02:23.439,99644.37967075614,1972000578988.1174,89975875650.69685
2025-01-27 21:04:03.607,101486.5818079567,2015548117187.0442,76795794575.84346
2025-01-27 22:08:33.504,101584.40962558467,2012912823636.1921,89836501592.60274
2025-01-27 23:02:16.492,101728.82790773972,2017597184688.3171,96564977795.63347
2025-01-28 00:03:16.719,102101.49013927419,2020768161655.183,93724977880.38113
2025-01-28 01:03:55.720,101840.79975571838,2019962510894.2673,92195650727.20552
2025-01-28 02:08:28.168,101433.10979499303,2008234630352.1848,87573508607.66335
2025-01-28 03:03:58.399,102411.57444755935,2027642030606.1,84093532336.27197
2025-01-28 04:01:27.356,102592.05437467458,2034829989211.3442,86209825824.30925
2025-01-28 05:03:53.425,102922.52934594444,2039197919742.278,76691997887.8302
2025-01-28 06:03:49.391,102992.57835984608,2040862349340.991,81916066066.0825
2025-01-28 07:03:53.604,102684.42718421642,2036134691870.3381,71259163318.72241
2025-01-28 08:03:44.184,102766.35271308372,2034675055022.8894,61774038441.5233
2025-01-28 09:03:44.779,102855.90000083558,2038113157463.9673,69613781592.17575
2025-01-28 10:04:00.188,102933.50523548406,2039764305416.4587,57368133404.35514
2025-01-28 11:02:00.584,102740.42074274186,2035589938541.3716,58627230785.891106
2025-01-28 12:03:51.865,102784.33565971034,2036817227113.4158,58932805093.06194
2025-01-28 13:03:51.078,102563.30480114298,2032872234745.473,56867451751.26169
2025-01-28 14:03:53.877,102574.81008182403,2032061261578.1177,56299720511.00197
2025-01-28 15:03:51.968,102700.26221764315,2035784424920.212,43451432038.04903
2025-01-28 16:03:39.613,102692.70970442574,2036817971407.8037,53893737726.64615
2025-01-28 17:04:04.551,102298.89275485853,2025917720275.0222,51977037580.88953
2025-01-28 18:02:59.073,102659.64718958936,2033912414290.9045,51673010701.19289
2025-01-28 19:03:56.615,102180.32884007423,2026194774178.4312,47800451641.450165
2025-01-28 20:04:04.896,102395.47703023312,2031250905805.48,49466641952.53679
2025-01-28 21:08:32.721,101325.03464318452,2007888167586.0603,44341352168.83777
2025-01-28 22:03:43.465,100272.25743332352,1987087299612.1772,46735091342.52568
2025-01-28 23:03:53.662,101191.8542200963,2003288626068.7031,47754931912.40608
2025-01-29 00:04:00.450,101340.77163007476,2008329332382.7295,38416124726.74373
2025-01-29 01:03:53.494,101745.6374749012,2014693581455.8606,46141017717.70596
2025-01-29 02:03:39.357,101807.1531272082,2017722393894.6765,42721215170.87334
2025-01-29 03:02:36.666,101754.883654293,2015660193514.7922,44705432032.70965
2025-01-29 04:01:35.472,101972.19437391097,2020682540269.769,40223955427.444725
2025-01-29 05:03:48.624,101995.0326605567,2020837386443.96,41427586648.95881
2025-01-29 06:03:56.698,102245.25754593858,2026134455204.8594,37008398956.47037
2025-01-29 07:03:43.479,102748.17207859305,2035887453386.946,42981103420.23279
2025-01-29 08:03:34.733,102678.89310173855,2034569431342.751,36794434343.496086
2025-01-29 09:00:58.690,102697.42551218392,2035086184740.9226,37517199822.58994
2025-01-29 10:04:02.591,102267.58068692396,2026745812040.714,42302495252.56043
2025-01-29 11:03:55.506,102465.81108516718,2031193216047.938,42077386141.22969
2025-01-29 12:03:45.366,102578.2266858994,2031984878284.2695,42346586074.23816
2025-01-29 13:03:58.610,102184.30912747399,2025525949139.369,42275010980.789055
2025-01-29 14:08:24.548,101764.76415521317,2018046445655.7495,43904499590.867325
2025-01-29 15:04:01.369,102053.61102757561,2022140815072.901,42246692085.51449
2025-01-29 16:00:15.220,102063.53362483064,2022206205922.7678,38284582436.4194
2025-01-29 17:03:47.900,102064.07066474401,2021068311583.9038,38441243818.27906
2025-01-29 18:01:45.257,102542.84134196813,2031853565920.8164,37366254287.201836
2025-01-29 19:03:46.781,102910.23934445361,2039464666407.616,36966232490.225006
2025-01-29 20:01:23.403,103621.21550924935,2053628972752.0974,37709067803.47067
2025-01-29 21:04:01.470,104302.57891352312,2067678208022.7075,45371932792.88584
