timestamp,price,norm_price
2025-04-18 14:04:59.488,84543.30063719767,-2.072231722138509
2025-04-18 15:03:49.491,84541.69566568747,-2.0725084377920093
2025-04-18 16:06:10.557,84382.34027186113,-2.0999831509948543
2025-04-18 17:07:26.835,84455.82994619277,-2.087312681065028
2025-04-18 18:04:51.703,84543.02354629472,-2.0722794958153634
2025-04-18 19:03:48.592,84599.59333023877,-2.0625262107053306
2025-04-18 20:07:34.135,84535.96965601825,-2.073495668093294
2025-04-18 21:04:55.138,84495.66839467015,-2.0804440717253576
2025-04-18 22:04:56.604,84589.93551188768,-2.0641913303036694
2025-04-18 23:04:09.563,84507.5553544359,-2.078394622362046
2025-04-19 00:04:50.927,84447.77718147618,-2.088701070850688
2025-04-19 01:04:52.944,84430.13416891031,-2.0917429302985684
2025-04-19 02:04:53.988,84537.56876723397,-2.0732199628223493
2025-04-19 03:04:39.291,84750.96113857607,-2.0364286496353703
2025-04-19 04:04:54.282,84873.33303095314,-2.0153303198805976
2025-04-19 05:04:56.887,85039.73101895596,-1.9866413819781241
2025-04-19 06:06:55.197,85065.22675131068,-1.9822456228041005
2025-04-19 07:09:28.012,84928.93649119227,-2.005743640155023
2025-04-19 08:04:38.713,85188.51899516837,-1.9609886138081143
2025-04-19 09:04:47.420,85315.77967080926,-1.9390474012687744
2025-04-19 10:04:57.504,85348.12052038811,-1.9334714647059776
2025-04-19 11:04:51.582,85222.96773135632,-1.9550492532114114
2025-04-19 12:04:38.460,85196.3572478893,-1.9596372083718243
2025-04-19 13:00:52.596,85277.07094440877,-1.9457212334545868
2025-04-19 14:04:39.991,85450.83762577904,-1.915761847579885
2025-04-19 15:09:26.840,85405.39779525725,-1.923596199976721
2025-04-19 16:04:54.075,85216.9255110766,-1.9560910018796405
2025-04-19 17:04:48.535,84884.07476220753,-2.013478321159815
2025-04-19 18:04:47.543,85152.68414164294,-1.9671669570673969
2025-04-19 19:04:57.549,85145.76108784041,-1.9683605716237993
2025-04-19 20:01:54.415,85081.67948116116,-1.979408981864676
2025-04-19 21:04:53.819,85202.13526291905,-1.9586410117448243
2025-04-19 22:04:51.622,85317.39798374778,-1.938768385398708
2025-04-19 23:04:56.247,85246.71284128349,-1.9509553215938218
2025-04-20 00:04:53.780,85089.15978095334,-1.978119291653842
2025-04-20 01:04:39.515,85136.60177429907,-1.9699397432265977
2025-04-20 02:04:32.423,85279.66518510957,-1.9452739563494816
2025-04-20 03:04:45.251,85234.9939190133,-1.9529757993491632
2025-04-20 04:04:13.788,85143.828498931,-1.968693772306562
2025-04-20 05:01:40.936,85195.6725951446,-1.959755250424576
2025-04-20 06:01:18.578,85100.82279248716,-1.9761084535561846
2025-04-20 07:04:37.355,84950.9007313259,-2.001956751089645
2025-04-20 08:04:51.704,84777.37613360975,-2.03187439894213
2025-04-20 09:04:14.804,84631.43686608228,-2.0570360167830692
2025-04-20 10:04:43.986,84530.86583852716,-2.0743756252660033
2025-04-20 11:04:51.487,84160.54490886752,-2.138223237142244
2025-04-20 12:04:46.210,84093.83367559967,-2.1497250254246025
2025-04-20 13:04:47.251,84347.36438378347,-2.106013398675054
2025-04-20 14:04:30.800,84327.78944172559,-2.109388345114512
2025-04-20 15:04:40.110,84612.56642329428,-2.0602894993992646
2025-04-20 16:04:44.724,84357.12486748009,-2.1043305783835873
2025-04-20 17:04:34.686,84598.16864692859,-2.0627718425877046
2025-04-20 18:04:48.198,84563.85942887008,-2.068687148645049
2025-04-20 19:04:44.699,84561.23870595935,-2.069138991589475
2025-04-20 20:04:45.731,84633.09631104583,-2.056749909276103
2025-04-20 21:04:41.938,85074.9301477244,-1.9805726450205492
2025-04-20 22:04:19.496,85006.65839359477,-1.9923434851504473
2025-04-20 23:04:46.701,84832.44738276633,-2.0223794785634177
2025-04-21 00:04:43.007,85140.01930346077,-1.9693505216676315
2025-04-21 01:04:51.516,86714.02766242875,-1.6979732735987347
2025-04-21 02:04:54.376,87278.3464593321,-1.60067818538358
2025-04-21 03:00:49.371,87325.35908063866,-1.59257266566255
2025-04-21 04:04:42.687,87228.60184957321,-1.6092547315154433
2025-04-21 05:03:43.715,87323.94026251098,-1.592817286319618
2025-04-21 06:01:03.805,87542.22595116406,-1.5551823086258931
2025-04-21 07:03:21.837,87506.67640355151,-1.5613114618455834
2025-04-21 08:04:39.700,87446.14418253464,-1.5717479169415565
2025-04-21 09:09:32.608,87636.20600701202,-1.538979059904836
2025-04-21 10:04:26.878,87491.96387120764,-1.5638480726055295
2025-04-21 11:04:03.285,87345.61297579524,-1.5890806598552412
2025-04-21 12:03:35.731,86951.23393622616,-1.6570761681665733
2025-04-21 13:09:29.945,87029.4162966705,-1.6435966248693388
2025-04-21 14:04:28.438,87170.64212179757,-1.6192476590198996
2025-04-21 15:04:55.430,88183.22734480911,-1.4446662537240138
2025-04-21 16:04:54.922,88053.972667927,-1.4669512551424957
2025-04-21 17:04:45.909,87263.62426688836,-1.6032164616564841
2025-04-21 18:01:23.676,86906.81060010106,-1.6647352651713518
2025-04-21 19:09:38.984,86872.88362183892,-1.6705846686663306
2025-04-21 20:09:30.503,87267.08133220796,-1.6026204236065704
2025-04-21 21:04:42.002,87240.99623910723,-1.6071177953905031
2025-04-21 22:09:27.086,87133.19844863031,-1.6257033813950876
2025-04-21 23:03:19.294,87118.9841439109,-1.6281540919494433
2025-04-22 00:09:28.505,87530.85023993472,-1.5571436128277771
2025-04-22 01:05:04.323,87561.47787989446,-1.5518630534204756
2025-04-22 02:01:12.250,88427.93464457903,-1.402475884647784
