timestamp,open,high,price_validation,hourly_volatility,low,close,price_change,volume
2025-05-09T17:14:40,102774.6,103049.1,Valid,275,102774.6,103028.9,254,34.71787139
2025-05-09T17:29:36,103028.9,103216.1,Valid,260,102956.1,103127.9,99,24.62688942
2025-05-09T17:44:32,103119.1,103234,Valid,125,103109.4,103201.3,82,25.83614994
2025-05-09T17:59:28,103201.3,103247.6,Valid,233,103014.5,103108.4,-93,19.6622602
2025-05-09T18:14:24,103108.5,103224.9,Valid,292,102933.4,103176.9,68,19.86173308
2025-05-09T18:29:20,103177,103353,Valid,199,103154,103316.9,140,19.3824786
2025-05-09T18:44:16,103317,103372.1,Valid,180,103191.7,103191.7,-125,10.76875142
2025-05-09T18:59:12,103181.4,103292.6,Valid,149,103143.8,103143.9,-37,11.74038594
2025-05-09T19:14:08,103143.9,103143.9,Valid,246,102897.6,102992.9,-151,17.81065645
2025-05-09T19:29:04,102993,103106.9,Valid,209,102898,103087,94,32.99529659
2025-05-09T19:44,103088.9,103207.2,Valid,147,103059.9,103189.8,101,12.1818278
2025-05-09T20:01:04,103194.1,103415.6,Valid,250,103166.1,103306.3,112,18.50467481
2025-05-09T20:16,103306.4,103353.7,Valid,61,103292.9,103319.3,13,6.56608427
2025-05-09T20:30:56,103319.2,103319.3,Valid,128,103191.8,103223,-96,10.44724931
2025-05-09T20:45:52,103223,103250.1,Valid,141,103109.1,103176.9,-46,13.90422449
2025-05-09T21:00:48,103177,103211.2,Valid,206,103005.5,103005.5,-171,8.55449185
2025-05-09T21:15:44,103005.6,103077.6,Valid,303,102774.8,102924.2,-81,19.66450219
2025-05-09T21:30:40,102924.2,102988.2,Valid,181,102807.5,102807.5,-117,9.95670206
2025-05-09T21:45:36,102807.4,102981.5,Valid,201,102780.9,102981.5,174,10.5089643
2025-05-09T22:00:32,102981.6,103063.6,Valid,87,102976.8,103003,21,10.44612006
2025-05-09T22:15:28,103003,103036.7,Valid,124,102912.3,103036.7,34,5.1515328
2025-05-09T22:30:24,103044,103064.5,Valid,146,102918.5,102932.5,-111,5.96688249
2025-05-09T22:45:20,102932.5,102946.4,Valid,196,102750,102775.8,-157,9.02377116
