time,price,date,datetime
04:03.8,101855,5/15/25,18:49.1
05:04.4,101873,5/15/25,19:49.1
06:03.8,101892,5/15/25,20:49.1
07:04.4,101907,5/15/25,21:49.1
08:03.8,101919,5/15/25,22:49.1
09:04.3,101921,5/15/25,23:49.1
10:03.6,101925,5/15/25,24:49.1
11:04.2,101926,5/15/25,25:49.1
12:03.8,101939,5/15/25,26:49.1
13:04.2,101950,5/15/25,27:49.1
14:04.1,101954,5/15/25,28:49.1
15:03.6,101954,5/15/25,29:49.1
16:04.0,101964,5/15/25,30:49.1
17:04.5,101961,5/15/25,31:49.1
18:04.1,101952,5/15/25,32:49.1
19:03.7,101999,5/15/25,33:49.1
20:04.0,101999,5/15/25,34:49.1
21:04.7,102010,5/15/25,35:49.1
22:04.1,102013,5/15/25,36:49.1
23:03.7,102013,5/15/25,37:49.1
24:04.3,102000,5/15/25,38:49.1
25:04.3,101985,5/15/25,39:49.1
26:04.1,102019,5/15/25,40:49.1
27:03.6,102019,5/15/25,41:49.1
28:04.3,102030,5/15/25,42:49.1
29:03.7,102029,5/15/25,43:49.1
30:04.4,102028,5/15/25,44:49.1
31:03.8,102029,5/15/25,45:49.1
32:04.2,102037,5/15/25,46:49.1
33:03.7,102042,5/15/25,47:49.1
34:04.2,102064,5/15/25,48:49.1
35:03.6,102064,5/15/25,49:49.1
36:04.2,102093,5/15/25,50:49.1
37:03.8,102125,5/15/25,51:49.1
38:04.3,102119,5/15/25,52:49.1
39:03.9,102119,5/15/25,53:49.1
40:04.3,102123,5/15/25,54:49.1
41:03.9,102128,5/15/25,55:49.1
42:04.4,102131,5/15/25,56:49.1
43:03.9,102131,5/15/25,57:49.1
44:04.6,102136,5/15/25,58:49.1
45:04.1,102142,5/15/25,59:49.1
46:04.6,102140,5/15/25,00:49.1
47:04.7,102140,5/15/25,01:49.1
48:04.2,102140,5/15/25,02:49.1
49:03.8,102147,5/15/25,03:49.1
50:04.2,102150,5/15/25,04:49.1
51:03.9,102163,5/15/25,05:49.1
52:04.5,102163,5/15/25,06:49.1
53:03.9,102166,5/15/25,07:49.1
54:04.5,102169,5/15/25,08:49.1
55:04.2,102174,5/15/25,09:49.1
56:03.8,102180,5/15/25,10:49.1
57:04.4,102209,5/15/25,11:49.1
58:04.0,102219,5/15/25,12:49.1
59:04.8,102224,5/15/25,13:49.1
00:04.2,102225,5/15/25,14:49.1
01:03.8,102236,5/15/25,15:49.1
02:04.2,102234,5/15/25,16:49.1
03:03.8,102237,5/15/25,17:49.1
04:04.4,102238,5/15/25,18:49.1
05:03.8,102228,5/15/25,19:49.1
06:04.5,102227,5/15/25,20:49.1
07:04.0,102227,5/15/25,21:49.1
08:04.6,102224,5/15/25,22:49.1
09:04.2,102214,5/15/25,23:49.1
10:03.9,102207,5/15/25,24:49.1
11:04.4,102199,5/15/25,25:49.1
12:04.0,102194,5/15/25,26:49.1
13:04.5,102184,5/15/25,27:49.1
14:04.1,102174,5/15/25,28:49.1
15:03.5,102163,5/15/25,29:49.1
16:04.0,102158,5/15/25,30:49.1
17:03.6,102143,5/15/25,31:49.1
18:04.1,102129,5/15/25,32:49.1
19:03.6,102125,5/15/25,33:49.1
20:04.2,102118,5/15/25,34:49.1
21:03.8,102115,5/15/25,35:49.1
22:04.4,102115,5/15/25,36:49.1
23:03.8,102115,5/15/25,37:49.1
24:04.3,102112,5/15/25,38:49.1
25:04.3,102096,5/15/25,39:49.1
26:04.0,102076,5/15/25,40:49.1
27:04.5,102053,5/15/25,41:49.1
28:04.1,102053,5/15/25,42:49.1
29:04.7,102049,5/15/25,43:49.1
30:04.3,102048,5/15/25,44:49.1
31:03.8,102048,5/15/25,45:49.1
32:04.4,102041,5/15/25,46:49.1
33:04.1,102030,5/15/25,47:49.1
34:03.5,102030,5/15/25,48:49.1
35:04.1,101999,5/15/25,49:49.1
36:03.6,101980,5/15/25,50:49.1
37:04.2,101980,5/15/25,51:49.1
38:03.7,101959,5/15/25,52:49.1
39:04.3,101950,5/15/25,53:49.1
40:03.6,101939,5/15/25,54:49.1
41:04.2,101929,5/15/25,55:49.1
42:03.5,101879,5/15/25,56:49.1
43:04.0,101879,5/15/25,57:49.1
44:04.6,101851,5/15/25,58:49.1
45:04.1,101851,5/15/25,59:49.1
46:04.5,101848,5/15/25,00:49.1
47:03.9,101825,5/15/25,01:49.1
48:04.3,101808,5/15/25,02:49.1
49:04.1,101803,5/15/25,03:49.1
50:04.6,101803,5/15/25,04:49.1
51:04.1,101788,5/15/25,05:49.1
52:03.7,101776,5/15/25,06:49.1
53:04.0,101776,5/15/25,07:49.1
54:04.6,101828,5/15/25,08:49.1
55:04.1,101835,5/15/25,09:49.1
56:03.7,101846,5/15/25,10:49.1
57:04.2,101846,5/15/25,11:49.1
58:03.7,101870,5/15/25,12:49.1
59:04.2,101869,5/15/25,13:49.1
00:03.8,101872,5/15/25,14:49.1
01:04.3,101870,5/15/25,15:49.1
02:03.8,101869,5/15/25,16:49.1
03:04.1,101811,5/15/25,17:49.1
04:03.5,101805,5/15/25,18:49.1
05:04.0,101792,5/15/25,19:49.1
06:04.6,101783,5/15/25,20:49.1
07:04.0,101784,5/15/25,21:49.1
08:04.5,101776,5/15/25,22:49.1
09:04.0,101810,5/15/25,23:49.1
