timestamp,price,market_cap,volume
2024-04-20 00:00:00,63988.818471785664,1263308149913.607,52227787323.81757
2024-04-21 00:00:00,64894.41869109179,1277940837359.7852,16601830590.687477
2024-04-22 00:00:00,64936.4207567739,1279763566407.3762,19592118541.18973
2024-04-23 00:00:00,66841.66685207361,1317058642854.2856,27748586313.20611
2024-04-24 00:00:00,66406.95244392671,1306843409278.049,23232230785.201836
2024-04-25 00:00:00,64279.51812857524,1265541377860.928,30939903322.025898
2024-04-26 00:00:00,64486.183359158975,1269387456067.624,24705345525.57077
2024-04-27 00:00:00,63802.330049258766,1255539337969.4697,23302057197.884678
2024-04-28 00:00:00,63517.248743409626,1249495302303.4912,19190483386.063873
2024-04-29 00:00:00,63030.433616681854,1240724751365.882,16180294651.046635
2024-04-30 00:00:00,63797.67963589958,1257159131219.0603,27242983698.21234
2024-05-01 00:00:00,60749.47209216387,1197773959985.8767,39533113322.04938
2024-05-02 00:00:00,58297.574075325494,1151677489315.1536,51109380171.692604
2024-05-03 00:00:00,59135.1733607733,1164721402399.166,28255509745.49032
2024-05-04 00:00:00,62839.34073569376,1239817041554.716,33591665812.212433
2024-05-05 00:00:00,63820.451902924986,1257549583083.3145,20510614461.479218
2024-05-06 00:00:00,64010.00865210892,1259667234461.2874,18115695040.201984
2024-05-07 00:00:00,63172.48129551341,1244417948315.7583,17917770174.27797
2024-05-08 00:00:00,62363.057191718624,1229336706399.346,19925137720.849453
2024-05-09 00:00:00,61215.50400879193,1203918522476.5405,20303831135.373127
2024-05-10 00:00:00,63148.599943097026,1240910691253.6274,25837724247.550426
2024-05-11 00:00:00,60888.21674957157,1199393711200.297,23987518755.480534
2024-05-12 00:00:00,60776.972079172134,1197102943502.2341,12120618802.065384
2024-05-13 00:00:00,61507.054004121346,1211277523448.5786,13045696108.912676
2024-05-14 00:00:00,62878.783300729294,1238994152713.125,27740460083.601814
2024-05-15 00:00:00,61569.1130057734,1212998352772.157,21581895152.31416
2024-05-16 00:00:00,66220.51831432826,1307048849176.4167,38101793065.15294
2024-05-17 00:00:00,65260.879803346186,1286278919684.0837,29114585833.349678
2024-05-18 00:00:00,67053.12326509564,1319238394090.13,25397793918.993534
2024-05-19 00:00:00,66912.61861403697,1319928522881.6436,13025487675.845129
2024-05-20 00:00:00,66252.71259591613,1304727108597.6987,9072734600.009218
2024-05-21 00:00:00,71430.29700215145,1406288649446.611,35923476641.4359
2024-05-22 00:00:00,70189.8358177002,1382275470797.567,41105056578.01701
2024-05-23 00:00:00,69181.20085677762,1362228629448.754,31059440495.91766
2024-05-24 00:00:00,67906.46534276106,1336347300306.381,39235702119.25446
2024-05-25 00:00:00,68539.91646552991,1350764328536.3708,28127411967.182774
2024-05-26 00:00:00,69268.44558973772,1363997851294.8164,15929396750.116022
2024-05-27 00:00:00,68508.83110875699,1349351520129.172,11243743771.147913
2024-05-28 00:00:00,69367.23871755725,1366931305389.0393,18983806932.464344
2024-05-29 00:00:00,68316.63588049631,1347542673428.3018,31278122196.184998
2024-05-30 00:00:00,67577.26558995963,1331734029835.3335,24320692137.62038
2024-05-31 00:00:00,68372.49288434093,1346147846430.124,25344376897.716885
2024-06-01 00:00:00,67474.95483698409,1331606411822.8157,19685305476.459476
2024-06-02 00:00:00,67704.32641811523,1333649555935.3525,10724053324.55672
2024-06-03 00:00:00,67740.01690222476,1335930570689.7126,16137350587.750422
2024-06-04 00:00:00,68808.29368590549,1355484820107.0864,29862293749.910686
2024-06-05 00:00:00,70600.01116676089,1390853496950.4385,31561053725.144592
2024-06-06 00:00:00,71184.59943059199,1400297735227.1965,32560403314.989147
2024-06-07 00:00:00,70759.58819301432,1394881646977.521,23612879689.560955
2024-06-08 00:00:00,69325.36238847222,1366366925856.506,18597495569.911568
