timestamp,forecast_price,lower_ci,upper_ci,model,last_trained
2025-05-17 00:15:00,104177.2677996043,100245.20087825829,108109.33472095033,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 00:30:00,104645.59602266355,99767.19996269236,109523.99208263474,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 00:45:00,105129.89415864125,98961.85311187764,111297.93520540486,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 01:00:00,105608.22066777802,98625.39226062596,112591.04907493008,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 01:15:00,106088.32960233616,98275.85373303106,113900.80547164126,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 01:30:00,106568.12099413904,98042.07798789817,115094.16400037991,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 01:45:00,107047.84104605988,97853.04828495254,116242.63380716722,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 02:00:00,107527.67287790298,97711.6260890248,117343.71966678117,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 02:15:00,108007.430832047,97607.32559385967,118407.53607023433,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 02:30:00,108487.22610887991,97533.72444496189,119440.72777279794,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 02:45:00,108967.00562903396,97487.05195698146,120446.95930108645,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 03:00:00,109446.79070945394,97463.34011335929,121430.2413055486,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 03:15:00,109926.574288102,97460.0084476829,122393.14012852109,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 03:30:00,110406.35804014411,97474.69082622118,123338.02525406705,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 03:45:00,110886.14192521488,97505.53643229406,124266.7474181357,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 04:00:00,111365.92567638561,97550.96219200519,125180.88916076603,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 04:15:00,111845.70950758562,97609.63427268306,126081.78474248818,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 04:30:00,112325.49330063592,97680.41056859226,126970.57603267959,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 04:45:00,112805.2771089884,97762.30313732607,127848.25108065073,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 05:00:00,113285.06091227986,97854.45237391238,128715.66945064734,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 05:15:00,113764.84471676731,97956.10361056586,129573.58582296877,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 05:30:00,114244.62852122934,98066.59062017288,130422.66642228581,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 05:45:00,114724.41232549818,98185.32149706851,131263.50315392786,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 06:00:00,115204.19612992118,98311.76763304081,132096.62462680155,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 06:15:00,115683.97993425917,98445.45460295488,132922.50526556346,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 06:30:00,116163.76373863555,98585.95469746561,133741.5727798055,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 06:45:00,116643.54754299732,98732.88072767372,134554.21435832093,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 07:00:00,117123.3313473636,98885.88084420869,135360.7818505185,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 07:15:00,117603.11515172897,99044.6341810508,136161.59612240712,"(2, 1, 2)",2025-05-17T06:02:43.151849
2025-05-17 07:30:00,118082.89895609423,99208.84716471931,136956.95074746915,"(2, 1, 2)",2025-05-17T06:02:43.151849
