timestamp,price_usd
2025-04-26 22:33:15.590064,94399
2025-04-26 22:33:25.792378,94399
2025-04-26 22:33:36.061212,94399
2025-04-26 22:34:23.370992,94383
2025-04-26 22:34:33.640674,94383
2025-04-26 22:34:43.878825,94383
2025-04-26 22:34:54.163649,94383
2025-04-26 22:35:04.398713,94383
2025-04-26 22:35:14.652484,94375
2025-04-26 22:35:24.936857,94375
2025-04-26 22:35:35.182664,94375
2025-04-26 22:35:45.426158,94375
2025-04-26 22:36:57.229359,94371
2025-04-26 22:37:07.511115,94371
2025-04-26 22:37:17.759433,94382
2025-04-26 22:37:28.044337,94382
2025-04-26 22:37:38.303571,94382
2025-04-26 22:37:48.551047,94382
2025-04-26 22:39:00.331005,94400
2025-04-26 22:39:10.606424,94400
2025-04-26 22:39:20.849088,94413
2025-04-26 22:39:31.104799,94413
2025-04-26 22:39:41.380452,94413
2025-04-26 22:40:53.179661,94421
2025-04-26 22:41:03.434,94421
2025-04-26 22:41:13.696382,94410
2025-04-26 22:41:21.397069,94410
2025-04-26 22:41:31.630059,94410
2025-04-26 22:41:41.882889,94410
2025-04-26 22:42:53.721487,94413
2025-04-26 22:43:03.980376,94413
2025-04-26 22:43:14.241084,94413
2025-04-26 22:43:24.508933,94411
2025-04-26 22:43:34.769643,94411
2025-04-26 22:43:45.016533,94411
2025-04-26 22:45:00.491535,94404
2025-04-26 22:45:10.748776,94404
2025-04-26 22:45:20.999383,94394
2025-04-26 22:45:31.263217,94394
2025-04-26 22:45:41.513237,94394
2025-04-26 22:46:53.329226,94385
2025-04-26 22:47:03.597018,94385
2025-04-26 22:47:13.855334,94385
2025-04-26 22:47:24.100797,94373
2025-04-26 22:47:34.365379,94373
2025-04-26 22:47:45.378518,94373
1745722229.75539,94346
1745722230.8595486,94346
1745722231.9594975,94346
1745722233.0640566,94346
1745722234.193283,94346
1745725554.6563966,94305
1745725555.7566597,94305
1745725556.8531597,94305
1745725557.9490163,94305
1745725559.0612595,94305
1745725560.1565058,94305
