   timestamp,bitcoin_usd
1745727663.043922,94284
1745727664.1666062,94284
1745727665.2864354,94284
1745727666.3911774,94284
1745727667.508707,94284
1745730512.9514325,94122
1745730514.1651402,94122
1745730515.433463,94122
1745730516.7055988,94122
1745730517.9985838,94122
1747199606.4174423,103710
1747199611.6342878,103710
1747199616.899513,103710
1747199622.1599255,103716
1747199627.4319236,103710
1747199696.2308967,103739
1747199701.5275328,103739
1747199706.773879,103739
1747199712.087018,103738
1747199717.33131,103738
1747199722.603909,103738
1747199791.335678,103740
1747199796.582498,103740
1747199801.8958437,103740
1747199807.1611147,103740
1747199812.4556234,103740
1747199817.6962957,103740
1747200495.3917775,103775
1747200500.6288345,103775
1747200505.898385,103775
1747200511.1514854,103775
1747200516.4160736,103769
1747200584.8732002,103764
1747200590.1374753,103764
1747200595.3944538,103764
1747200600.6754315,103764
1747200605.931436,103764
1747200611.1694992,103764
1747200679.59199,103761
1747200684.841968,103761
1747200690.1181777,103761
1747200695.372202,103761
1747200700.6418402,103760
1747201394.2253659,103776
1747201399.2835486,103776
1747201404.3568478,103776
1747201409.4168444,103776
1747201414.5054226,103779
1747201629.2194078,103794
1747201634.2833805,103788
1747201639.3547835,103794
1747201644.4140382,103794
1747201649.4791496,103788
1747201715.0544305,103795
1747201720.1192367,103795
